anexo,faixa,rbt12_ate,aliquota_nominal,parcela_deduzir,vigencia_inicio,vigencia_fim
III,1,180000.00,0.060000,0.00,2018-01-01,
III,2,360000.00,0.112000,9360.00,2018-01-01,
III,3,720000.00,0.135000,17640.00,2018-01-01,
III,4,1800000.00,0.160000,35640.00,2018-01-01,
III,5,3600000.00,0.210000,125640.00,2018-01-01,
III,6,4800000.00,0.330000,648000.00,2018-01-01,
V,1,180000.00,0.155000,0.00,2018-01-01,
V,2,360000.00,0.180000,4500.00,2018-01-01,
V,3,720000.00,0.195000,9900.00,2018-01-01,
V,4,1800000.00,0.205000,17100.00,2018-01-01,
V,5,3600000.00,0.230000,62100.00,2018-01-01,
V,6,4800000.00,0.305000,540000.00,2018-01-01,
